timestamp_ms,hr_bpm,rr_ms
1203,49.87531172069826,1203
2327,53.380782918149464,1124
3301,61.60164271047228,974
4469,51.36986301369863,1168
5737,47.3186119873817,1268
6788,57.08848715509039,1051
7905,53.71530886302596,1117
9130,48.97959183673469,1225
10306,51.02040816326531,1176
11379,55.91798695246971,1073
12514,52.863436123348016,1135
13729,49.382716049382715,1215
14891,51.63511187607573,1162
15964,55.91798695246971,1073
17100,52.816901408450704,1136
18322,49.09983633387889,1222
19439,53.71530886302596,1117
20689,48.0,1250
22008,45.489006823351026,1319
23208,50.0,1200
24359,52.12858384013901,1151
25555,50.16722408026756,1196
26741,50.5902192242833,1186
27823,55.45286506469501,1082
28972,52.21932114882507,1149
30146,51.10732538330494,1174
31246,54.54545454545455,1100
32320,55.865921787709496,1074
33468,52.26480836236934,1148
34594,53.285968028419184,1126
35605,59.347181008902076,1011
36615,59.40594059405941,1010
37680,56.33802816901409,1065
38654,61.60164271047228,974
39649,60.301507537688444,995
40926,46.985121378230225,1277
42135,49.62779156327544,1209
43180,57.41626794258373,1045
44084,66.3716814159292,904
45070,60.851926977687626,986
46122,57.034220532319395,1052
47084,62.37006237006237,962
48027,63.62672322375398,943
49281,47.84688995215311,1254
50485,49.83388704318937,1204
51451,62.11180124223603,966
52351,66.66666666666667,900
53400,57.197330791229746,1049
54421,58.765915768854065,1021
55296,68.57142857142857,875
56519,49.05968928863451,1223
57547,58.36575875486381,1028
58610,56.444026340545626,1063
59675,56.33802816901409,1065
60672,60.18054162487462,997
61647,61.53846153846154,975
62510,69.52491309385863,863
63395,67.79661016949153,885
64476,55.504162812210915,1081
65683,49.71002485501243,1207
66907,49.01960784313726,1224
67901,60.36217303822938,994
69079,50.93378607809847,1178
70346,47.355958958168905,1267
71519,51.150895140664964,1173
72504,60.91370558375635,985
73362,69.93006993006993,858
74294,64.37768240343348,932
75480,50.5902192242833,1186
76833,44.34589800443459,1353
77957,53.380782918149464,1124
79103,52.35602094240838,1146
80358,47.808764940239044,1255
81515,51.85825410544512,1157
82494,61.28702757916241,979
83484,60.60606060606061,990
84735,47.961630695443645,1251
85975,48.38709677419355,1240
87115,52.63157894736842,1140
88265,52.17391304347826,1150
89490,48.97959183673469,1225
90709,49.22067268252666,1219
91840,53.05039787798408,1131
92851,59.347181008902076,1011
93943,54.94505494505494,1092
95163,49.18032786885246,1220
96279,53.763440860215056,1116
97272,60.42296072507553,993
98331,56.657223796033996,1059
99457,53.285968028419184,1126
100507,57.142857142857146,1050
101432,64.86486486486487,925
102496,56.390977443609025,1064
103684,50.505050505050505,1188
104805,53.52363960749331,1121
105821,59.05511811023622,1016
106710,67.49156355455568,889
107719,59.46481665014866,1009
109008,46.54771140418929,1289
110173,51.502145922746784,1165
